Passenger ID,Flight ID,Ticket Class,Age,Gender,Feedback Score,Check-in Luggage,Frequent Flyer
P0136,FL0849,Economy,40,Female,3,Y,N
P0137,FL0946,Economy,48,Male,5,Y,N
P0138,FL0265,Economy,69,Male,4,N,N
P0139,FL0084,Economy,64,Female,4,Y,N
P0140,FL1427,Economy,41,Female,4,Y,Y
P0141,FL2399,Economy,56,Other,2,Y,N
P0142,FL1494,Economy,32,Male,2,Y,N
P0143,FL2265,Economy,23,Other,3,N,Y
P0144,FL0581,Business,35,Male,2,N,N
P0145,FL2133,Economy,23,Other,1,Y,Y
P0146,FL1927,First,28,Male,1,Y,N
P0147,FL0316,Economy,24,Female,2,Y,N
P0148,FL2267,Business,64,Male,2,Y,Y
P0149,FL0036,Economy,28,Female,5,Y,N
P0150,FL0233,Economy,28,Male,4,Y,N
P0151,FL0991,Business,41,Other,3,N,Y
P0152,FL0718,Business,63,Male,2,Y,Y
P0153,FL1546,Economy,36,Female,5,N,N
P0154,FL1618,Economy,64,Female,5,N,N
P0155,FL2129,Economy,56,Other,4,N,N
P0156,FL1670,Economy,49,Male,1,Y,Y
P0157,FL1506,Business,25,Other,4,N,N
P0158,FL1531,Economy,49,Male,1,Y,N
P0159,FL2616,Business,46,Other,2,N,N
P0160,FL0583,Economy,32,Female,3,N,N
P0161,FL2920,Economy,31,Female,2,N,N
P0162,FL1006,First,58,Male,3,N,Y
P0163,FL1906,First,59,Female,1,N,N
P0164,FL2100,Economy,20,Female,1,N,N
P0165,FL1272,First,28,Male,1,Y,N
P0166,FL2301,Economy,19,Other,2,N,Y
P0167,FL1653,Economy,57,Female,3,N,Y
P0168,FL0209,Business,55,Male,4,N,N
P0169,FL2106,Economy,67,Other,5,Y,N
P0170,FL0629,First,42,Female,4,N,Y
P0171,FL0805,Economy,42,Female,4,Y,Y
P0172,FL1241,Economy,26,Male,4,Y,N
P0173,FL0622,Economy,54,Female,2,Y,N
P0174,FL0670,Business,34,Other,4,Y,Y
P0175,FL0679,First,49,Male,1,N,N
P0176,FL1404,Economy,41,Female,3,N,N
P0177,FL1338,Economy,60,Other,5,N,N
P0178,FL1005,Economy,19,Female,4,N,N
P0179,FL2085,Economy,64,Female,1,N,N
P0180,FL1056,Economy,27,Other,2,Y,N
P0181,FL1019,Economy,27,Male,5,N,N
P0182,FL1638,Economy,39,Female,1,Y,Y
P0183,FL1971,First,60,Male,3,Y,N
P0184,FL1771,Economy,48,Male,3,N,Y
P0185,FL0966,Economy,49,Female,5,Y,N
P0186,FL0964,Economy,57,Male,3,Y,N
P0187,FL2431,Economy,23,Male,1,Y,N
P0188,FL0035,Economy,45,Female,1,Y,N
P0189,FL0009,Economy,20,Male,3,N,N
P0190,FL2868,Economy,54,Male,1,Y,N
P0191,FL1353,Economy,55,Male,1,Y,N
P0192,FL0788,Business,43,Female,1,N,N
P0193,FL2521,Business,22,Other,3,Y,Y
P0194,FL2483,Business,28,Other,5,Y,N
P0195,FL0917,Economy,20,Female,3,Y,N
P0196,FL1854,Economy,50,Female,3,N,N
P0197,FL0964,Business,37,Other,3,Y,Y
P0198,FL0610,Business,20,Male,1,Y,Y
P0199,FL1839,Economy,64,Male,3,N,N
P0200,FL2373,Economy,48,Female,4,Y,N
P0201,FL2738,First,53,Other,5,N,N
P0202,FL0860,Business,59,Male,3,Y,N
P0203,FL1414,Economy,20,Female,4,Y,N
P0204,FL1899,Economy,43,Other,3,N,Y
P0205,FL1340,Business,63,Female,3,Y,Y
P0206,FL0673,First,44,Male,4,N,Y
P0207,FL0575,Economy,56,Female,3,Y,N
P0208,FL1712,Economy,18,Other,3,N,N
P0209,FL1528,Economy,24,Female,5,Y,Y
P0210,FL1362,Economy,65,Other,5,N,N
P0211,FL2166,First,57,Other,2,N,N
P0212,FL2996,Business,47,Other,5,N,N
P0213,FL1870,Economy,39,Male,4,Y,N
P0214,FL1710,First,56,Other,2,N,N
P0215,FL0913,Economy,37,Other,1,Y,N
P0216,FL2374,Economy,34,Male,5,Y,Y
P0217,FL1841,Economy,18,Female,1,Y,N
P0218,FL1121,Economy,52,Female,1,N,N
P0219,FL2717,Economy,55,Male,5,N,N
P0220,FL0962,First,42,Other,3,Y,N
P0221,FL0821,Economy,45,Male,3,Y,N
P0222,FL0085,Economy,65,Other,3,Y,N
P0223,FL2752,Economy,28,Female,2,Y,N
P0224,FL1183,Economy,52,Other,5,Y,Y
P0225,FL0638,Business,18,Male,1,N,N
P0226,FL0465,Business,39,Male,5,N,N
P0227,FL1972,Economy,35,Male,3,Y,N
P0228,FL1589,Business,52,Female,1,Y,N
P0229,FL0665,Economy,28,Other,5,Y,N
P0230,FL2587,Economy,39,Female,4,Y,N
P0231,FL1649,Economy,30,Other,4,Y,N
P0232,FL0929,Business,67,Female,5,N,N
P0233,FL2632,Economy,20,Male,4,Y,Y
P0234,FL1456,Economy,60,Female,3,N,N
P0235,FL0031,First,47,Male,2,Y,N
P0236,FL2300,Business,55,Male,4,N,N
P0237,FL2260,Business,39,Male,5,Y,N
P0238,FL2614,Economy,37,Other,4,N,Y
P0239,FL0437,Economy,37,Other,2,N,N
P0240,FL0627,Economy,44,Male,5,N,Y
P0241,FL1264,Business,44,Male,1,N,N
P0242,FL2916,Economy,26,Other,5,Y,N
P0243,FL0390,First,67,Female,3,Y,Y
P0244,FL0870,Economy,23,Male,1,N,N
P0245,FL2254,Business,23,Other,5,N,N
P0246,FL2695,Economy,43,Male,3,N,Y
P0247,FL1366,Economy,21,Male,1,Y,N
P0248,FL2410,Economy,48,Male,4,N,N
P0249,FL0438,Economy,55,Other,2,Y,N
P0250,FL0759,Economy,54,Other,1,Y,N
P0251,FL2985,Business,28,Other,5,Y,N
P0252,FL0022,Economy,35,Other,2,N,N
P0253,FL0244,Economy,57,Other,4,Y,N
P0254,FL1199,Economy,43,Other,4,N,Y
P0255,FL2525,Business,25,Other,4,N,N
P0256,FL2039,Economy,25,Female,5,Y,N
P0257,FL2832,Economy,29,Other,5,Y,N
P0258,FL1020,Economy,20,Male,2,Y,N
P0259,FL2802,Economy,31,Female,1,Y,N
P0260,FL2938,Economy,62,Male,4,Y,N
P0261,FL1832,Economy,64,Other,1,N,N
P0262,FL1684,Economy,51,Other,3,N,N
P0263,FL2602,Economy,42,Female,2,Y,N
P0264,FL1122,Economy,34,Male,4,N,Y
P0265,FL0245,Business,51,Female,2,N,Y
P0266,FL1177,Economy,35,Male,4,Y,N
P0267,FL2170,Economy,47,Female,3,Y,N
P0268,FL2820,Business,48,Female,3,Y,N
P0269,FL1795,First,19,Male,4,N,Y
P0270,FL2260,Economy,27,Male,3,N,N
P0271,FL2826,Economy,60,Other,3,N,Y
P0272,FL2324,First,24,Male,3,N,N
P0273,FL2738,First,57,Other,5,Y,N
P0274,FL2165,Economy,19,Female,5,N,N
P0275,FL0006,Economy,29,Male,3,N,Y
P0276,FL1114,Economy,58,Female,5,N,Y
P0277,FL1933,Economy,33,Female,1,N,N
P0278,FL0988,Economy,49,Male,4,Y,N
P0279,FL0423,Economy,26,Male,4,Y,Y
P0280,FL1690,Economy,65,Male,1,N,N
P0281,FL0905,Business,31,Female,1,Y,Y
P0282,FL2407,Economy,35,Other,5,N,N
P0283,FL0383,Economy,33,Other,1,Y,N
P0284,FL2451,Economy,58,Male,1,N,N
P0285,FL2217,Economy,66,Other,1,N,N
P0286,FL0887,Business,39,Male,1,Y,N
P0287,FL1138,Economy,62,Female,3,N,N
P0288,FL0673,Economy,24,Other,5,Y,N
P0289,FL0789,Economy,28,Male,1,Y,Y
P0290,FL0857,Economy,36,Female,1,N,Y
P0291,FL0551,Economy,64,Other,2,N,N
P0292,FL1228,Business,45,Male,1,Y,N
P0293,FL0032,Economy,20,Other,2,N,Y
P0294,FL0646,Economy,27,Female,1,N,Y
P0295,FL0681,Economy,51,Other,5,N,N
P0296,FL0645,Business,56,Other,5,Y,N
P0297,FL1741,Economy,68,Female,3,N,Y
P0298,FL0878,First,69,Male,2,N,Y
P0299,FL2194,Economy,23,Other,1,Y,N
P0300,FL0942,Business,52,Male,5,N,N
P0301,FL2661,Economy,65,Male,1,Y,N
P0302,FL0950,Business,33,Male,5,Y,Y
P0303,FL2263,Economy,51,Other,1,N,Y
P0304,FL2249,Economy,29,Male,4,N,N
P0305,FL0841,Economy,68,Male,1,Y,N
P0306,FL0293,Economy,58,Other,1,N,N
P0307,FL2791,Economy,39,Male,1,Y,N
P0308,FL2724,Economy,69,Other,1,Y,N
P0309,FL2610,Economy,23,Other,2,N,N
P0310,FL0403,Economy,52,Other,3,Y,N
P0311,FL2478,Economy,27,Female,3,N,N
P0312,FL2065,Economy,66,Female,3,Y,Y
P0313,FL0606,Economy,54,Other,4,N,N
P0314,FL0314,Economy,70,Female,5,Y,N
P0315,FL1921,Economy,45,Female,1,Y,N
P0316,FL0012,Economy,33,Female,3,N,Y
P0317,FL2966,Economy,51,Male,4,N,N
P0318,FL0966,Economy,69,Female,5,Y,N
P0319,FL1514,Economy,41,Female,2,N,N
P0320,FL2264,Business,58,Female,1,N,Y
P0321,FL1681,Economy,57,Other,4,N,N
P0322,FL0070,Business,67,Other,5,Y,Y
P0323,FL0249,Economy,21,Male,4,N,N
P0324,FL0509,Business,51,Other,1,N,N
P0325,FL1060,First,59,Male,5,N,N
P0326,FL1020,Economy,42,Other,2,Y,N
P0327,FL0993,Economy,22,Male,4,N,N
P0328,FL2137,Economy,60,Other,3,N,Y
P0329,FL0085,Economy,44,Other,2,N,N
P0330,FL2165,Economy,24,Female,3,Y,N
P0331,FL0168,Business,36,Other,4,Y,N
P0332,FL1531,Business,20,Male,4,Y,N
P0333,FL1512,Economy,61,Male,3,Y,N
P0334,FL2987,Economy,23,Female,4,N,N
P0335,FL1147,Business,50,Other,5,Y,N
P0336,FL2994,Economy,33,Other,5,Y,N
P0337,FL1129,Economy,26,Female,5,Y,N
P0338,FL1393,Economy,61,Other,1,N,Y
P0339,FL0886,Economy,66,Female,2,N,N
P0340,FL2904,Economy,64,Male,2,Y,Y
P0341,FL2914,Economy,51,Female,1,Y,N
P0342,FL0814,Economy,23,Other,2,N,Y
P0343,FL1659,Economy,32,Male,4,Y,N
P0344,FL0344,First,57,Other,4,N,N
P0345,FL0391,Economy,50,Female,5,Y,Y
P0346,FL0758,Economy,19,Male,5,Y,N
P0347,FL1700,Economy,26,Other,5,Y,Y
P0348,FL1546,Economy,58,Other,4,N,N
P0349,FL2442,Economy,64,Female,1,Y,N
P0350,FL2498,Business,26,Male,1,N,N
P0351,FL0505,Business,58,Other,3,Y,N
P0352,FL0926,Economy,51,Female,3,Y,N
P0353,FL1669,Economy,70,Other,2,Y,N
P0354,FL2072,Economy,33,Female,3,N,N
P0355,FL0315,Economy,20,Other,3,Y,N
P0356,FL1669,First,20,Female,1,N,Y
P0357,FL1620,Economy,68,Other,1,Y,Y
P0358,FL0528,Economy,19,Male,2,Y,N
P0359,FL0833,Economy,43,Other,1,Y,N
P0360,FL2806,Economy,38,Other,2,Y,N
P0361,FL0896,Economy,39,Female,1,N,N
P0362,FL0752,Economy,24,Female,4,N,N
P0363,FL2639,First,57,Male,5,N,Y
P0364,FL0166,Economy,37,Other,1,N,N
P0365,FL1404,Economy,48,Other,5,Y,N
P0366,FL0869,Economy,41,Other,1,Y,Y
P0367,FL1518,Economy,62,Male,5,Y,N
P0368,FL2313,Economy,22,Female,3,Y,N
P0369,FL2928,First,34,Other,2,N,N
P0370,FL2893,Economy,58,Female,5,N,N
P0371,FL2691,Economy,53,Other,5,N,Y
P0372,FL2139,Economy,52,Female,5,N,N
P0373,FL2330,Economy,39,Other,1,N,Y
P0374,FL2050,Business,54,Other,2,Y,N
P0375,FL0444,Economy,67,Male,3,Y,N
P0376,FL1761,Economy,53,Male,4,Y,N
P0377,FL1938,Economy,58,Male,4,N,N
P0378,FL0126,Economy,29,Other,2,N,N
P0379,FL2968,Economy,56,Male,3,N,N
P0380,FL2131,Economy,53,Male,3,Y,N
P0381,FL1670,Business,25,Male,5,N,N
P0382,FL2250,Business,68,Male,4,N,N
P0383,FL0601,Economy,35,Male,5,N,N
P0384,FL1412,Economy,22,Male,1,N,N
P0385,FL0403,Economy,61,Male,2,N,N
P0386,FL0493,Economy,30,Female,4,Y,Y
P0387,FL1273,Business,35,Other,1,Y,N
P0388,FL0673,Economy,32,Male,1,N,N
P0389,FL1595,Economy,21,Male,4,Y,Y
P0390,FL2738,Economy,57,Female,1,Y,N
P0391,FL1537,Economy,57,Other,3,Y,Y
P0392,FL2485,Economy,65,Female,1,N,N
P0393,FL0726,Business,51,Male,5,N,N
P0394,FL2569,Economy,64,Female,2,N,Y
P0395,FL2029,Economy,56,Female,4,Y,Y
P0396,FL1840,Business,64,Female,4,Y,N
P0397,FL1412,Economy,69,Male,4,N,N
P0398,FL0196,First,54,Other,5,Y,N
P0399,FL1080,Economy,51,Other,5,N,Y
P0400,FL0800,Economy,47,Male,1,Y,N
P0401,FL1287,Economy,28,Male,3,N,Y
P0402,FL2232,First,47,Male,2,Y,N
P0403,FL0322,Economy,18,Female,1,Y,N
P0404,FL0975,Business,60,Female,2,N,N
P0405,FL2349,First,42,Male,2,Y,N
P0406,FL2736,Economy,37,Female,5,Y,N
P0407,FL0691,Business,38,Male,2,N,Y
P0408,FL0177,First,24,Female,3,N,N
P0409,FL0969,Economy,61,Female,1,N,N
P0410,FL0444,First,47,Other,4,Y,N
P0411,FL0308,Economy,28,Other,1,N,N
P0412,FL2413,Economy,29,Male,2,N,N
P0413,FL1720,Economy,52,Female,4,N,Y
P0414,FL1745,Business,32,Other,2,Y,N
P0415,FL0726,Economy,38,Female,1,N,Y
P0416,FL1842,First,19,Female,5,N,N
P0417,FL0488,Economy,62,Male,4,N,Y
P0418,FL1660,Economy,69,Male,1,N,N
P0419,FL1541,Economy,23,Other,2,Y,Y
P0420,FL1431,Economy,28,Male,4,N,Y
P0421,FL1373,Economy,46,Male,3,N,N
P0422,FL0299,Economy,67,Male,1,Y,N
P0423,FL1630,First,66,Other,1,N,Y
P0424,FL2554,Economy,36,Other,1,Y,Y
P0425,FL0155,Business,69,Male,5,Y,N
P0426,FL2222,Economy,64,Other,3,N,N
P0427,FL1222,Business,39,Other,5,Y,N
P0428,FL1162,Economy,58,Other,5,N,N
P0429,FL0147,Economy,46,Male,3,Y,Y
P0430,FL2229,Economy,42,Female,2,Y,Y
P0431,FL2522,Economy,42,Male,5,Y,N
P0432,FL2719,First,49,Other,5,N,N
P0433,FL0615,Business,54,Female,5,N,N
P0434,FL0631,Business,26,Female,5,Y,N
P0435,FL0157,Business,52,Female,5,Y,N
P0436,FL0763,Economy,68,Male,3,Y,N
P0437,FL0123,Economy,41,Female,4,N,N
P0438,FL2332,Economy,61,Male,2,N,N
P0439,FL0721,Business,39,Female,3,N,Y
P0440,FL2145,Economy,55,Female,2,Y,N
P0441,FL2505,Economy,58,Male,2,N,N
P0442,FL0911,Business,30,Other,5,Y,N
P0443,FL0674,Economy,61,Other,3,Y,N
P0444,FL1384,Business,48,Male,3,N,Y
P0445,FL2358,Economy,55,Male,2,N,N
P0446,FL2812,Economy,32,Other,1,N,N
P0447,FL0106,First,49,Other,3,N,N
P0448,FL2289,Economy,57,Female,4,N,N
P0449,FL0919,Economy,37,Other,5,Y,N
P0450,FL2099,Business,22,Male,4,N,Y
P0451,FL0816,Economy,63,Female,5,Y,Y
P0452,FL0155,Economy,41,Male,4,N,Y
P0453,FL1203,Economy,38,Female,2,Y,Y
P0454,FL0711,Economy,31,Female,4,Y,Y
P0455,FL1746,Economy,38,Male,1,N,N
P0456,FL0614,Economy,59,Male,3,Y,Y
P0457,FL1450,Economy,42,Other,5,Y,N
P0458,FL2146,Economy,21,Other,2,N,Y
P0459,FL1479,Economy,50,Other,5,N,N
P0460,FL0561,First,53,Female,4,Y,N
P0461,FL2391,Economy,68,Female,5,N,Y
P0462,FL0687,Economy,63,Female,5,N,N
P0463,FL2742,Economy,58,Female,5,N,N
P0464,FL1300,Business,57,Female,2,Y,N
P0465,FL2517,First,23,Other,4,N,Y
P0466,FL0026,Business,20,Male,3,N,N
P0467,FL2402,Economy,32,Male,2,Y,N
P0468,FL0475,Business,38,Male,2,Y,N
P0469,FL1969,Economy,31,Other,4,Y,N
P0470,FL1163,Economy,51,Other,5,N,N
P0471,FL2540,First,49,Male,4,Y,N
P0472,FL2611,Business,64,Female,4,Y,N
P0473,FL0532,Economy,50,Other,2,N,Y
P0474,FL0286,Economy,69,Male,5,Y,N
P0475,FL0780,Business,26,Male,5,Y,N
P0476,FL2643,Economy,37,Other,1,Y,N
P0477,FL0034,Business,51,Male,4,N,N
P0478,FL0836,Business,47,Female,1,Y,N
P0479,FL1655,Economy,23,Other,4,Y,N
P0480,FL1434,Economy,38,Female,3,N,N
P0481,FL1553,Economy,54,Male,3,Y,N
P0482,FL2093,Business,60,Other,4,N,N
P0483,FL2269,Economy,24,Female,1,Y,N
P0484,FL0496,Economy,29,Male,4,Y,Y
P0485,FL2938,Business,54,Other,5,Y,N
P0486,FL0120,Economy,29,Male,5,Y,N
P0487,FL0702,First,64,Female,3,Y,N
P0488,FL0968,Economy,27,Male,2,N,N
P0489,FL2878,First,68,Other,5,Y,N
P0490,FL1262,Economy,25,Female,4,N,Y
P0491,FL1611,Economy,19,Other,3,N,N
P0492,FL2366,Business,67,Female,5,Y,Y
P0493,FL1831,Economy,55,Female,1,Y,N
P0494,FL1803,Economy,21,Female,2,N,N
P0495,FL2039,Business,31,Female,3,Y,N
P0496,FL2287,First,51,Male,2,Y,Y
P0497,FL2766,Business,24,Male,3,N,N
P0498,FL2975,Business,53,Male,2,Y,N
P0499,FL1087,Business,49,Other,4,N,N
P0500,FL0863,Economy,64,Other,3,N,Y
P0501,FL2611,Economy,21,Male,2,Y,Y
P0502,FL1238,Economy,42,Other,1,N,Y
P0503,FL0273,Economy,28,Male,5,Y,Y
P0504,FL0612,Economy,28,Other,5,N,N
P0505,FL0379,Economy,48,Female,5,Y,Y
P0506,FL0805,First,54,Female,4,Y,Y
P0507,FL2431,Economy,56,Male,2,N,Y
P0508,FL0619,Business,25,Male,2,Y,N
P0509,FL2869,First,44,Female,2,Y,Y
P0510,FL2759,Economy,25,Female,4,Y,Y
P0511,FL0741,Economy,57,Other,1,N,Y
P0512,FL1405,Economy,51,Female,2,Y,N
P0513,FL2989,Economy,36,Other,2,N,N
P0514,FL0854,Economy,60,Male,4,N,N
P0515,FL0425,Economy,68,Female,2,Y,Y
P0516,FL0094,Business,61,Female,5,Y,N
P0517,FL0036,Economy,38,Male,2,N,N
P0518,FL0071,Business,55,Male,3,N,N
P0519,FL0271,Business,65,Other,1,Y,N
P0520,FL2331,Economy,26,Other,5,N,N
P0521,FL0399,Economy,47,Male,2,N,Y
P0522,FL1471,Economy,52,Female,4,N,N
P0523,FL0534,Economy,19,Female,1,Y,Y
P0524,FL1974,First,45,Male,3,Y,N
P0525,FL2284,Economy,21,Male,5,Y,N
P0526,FL2956,First,45,Female,5,Y,N
P0527,FL0533,Economy,36,Other,1,N,N
P0528,FL0650,Business,61,Other,1,Y,N
P0529,FL1170,Economy,21,Male,1,N,N
P0530,FL1662,First,54,Other,4,N,N
P0531,FL1263,Economy,41,Female,5,N,N
P0532,FL1742,Business,33,Female,4,Y,Y
P0533,FL1029,Economy,18,Male,1,Y,N
P0534,FL2107,Economy,31,Male,4,Y,Y
P0535,FL1633,Economy,23,Female,2,N,N
P0536,FL2230,Economy,24,Other,3,N,Y
P0537,FL2428,Economy,64,Male,3,Y,N
P0538,FL0801,Economy,44,Female,1,Y,Y
P0539,FL2919,Economy,23,Male,3,N,N
P0540,FL1129,Economy,30,Female,2,Y,N
P0541,FL0102,Economy,45,Male,3,N,N
P0542,FL2882,Economy,34,Female,1,Y,Y
P0543,FL0023,Economy,60,Male,5,N,Y
P0544,FL1801,First,45,Female,4,Y,Y
P0545,FL2397,Economy,33,Male,4,Y,Y
P0546,FL1090,Economy,45,Male,3,N,N
P0547,FL0103,Business,68,Male,1,N,N
P0548,FL2731,Economy,34,Male,1,N,N
P0549,FL2228,Business,53,Male,5,N,N
P0550,FL1291,Economy,63,Male,3,Y,Y
P0551,FL2501,Economy,20,Other,3,N,N
P0552,FL1618,Business,51,Female,2,Y,Y
P0553,FL2418,Economy,25,Female,4,N,Y
P0554,FL1565,First,27,Male,4,N,N
P0555,FL1987,Economy,35,Male,2,Y,N
P0556,FL1790,Economy,65,Other,5,N,N
P0557,FL0467,First,46,Male,1,N,Y
P0558,FL1765,Business,60,Male,1,Y,N
P0559,FL2112,Economy,52,Male,1,Y,N
P0560,FL0649,Economy,60,Male,3,Y,N
P0561,FL2236,First,69,Male,2,N,N
P0562,FL2520,Economy,56,Other,5,N,N
P0563,FL0459,Economy,46,Male,5,N,N
P0564,FL2082,Economy,70,Male,5,N,N
P0565,FL1246,Economy,28,Male,4,N,N
P0566,FL0955,Economy,46,Other,3,N,N
P0567,FL2209,Economy,69,Male,3,Y,N
P0568,FL1312,Economy,23,Male,2,N,N
P0569,FL1227,Economy,23,Other,1,Y,N
