Flight ID,Airline,Source,Destination,Departure Time,Arrival Time,Status,Delay (min),Aircraft Type,Date
FL0035,JetZoom,DFW,SFO,2025-04-29 11:49:42,2025-04-29 15:49:42,Cancelled,120,Boeing 777,2025-04-29
FL0036,CloudNine,MIA,SEA,2025-01-18 00:00:57,2025-01-18 02:00:57,On-time,0,Airbus A320,2025-01-18
FL0037,SkyHigh,DEN,JFK,2025-01-12 19:28:51,2025-01-12 21:28:51,On-time,0,Airbus A320,2025-01-12
FL0038,GlobalWings,ATL,JFK,2025-05-18 09:52:28,2025-05-18 11:52:28,On-time,0,Boeing 737,2025-05-18
FL0039,JetZoom,LAX,JFK,2024-12-01 07:18:58,2024-12-01 09:48:58,Delayed,30,Boeing 737,2024-12-01
FL0040,GlobalWings,ATL,DFW,2025-02-04 01:07:56,2025-02-04 03:22:56,Delayed,15,Airbus A320,2025-02-04
FL0041,GlobalWings,ORD,SEA,2024-12-20 01:22:01,2024-12-20 03:22:01,On-time,0,Airbus A350,2024-12-20
FL0042,CloudNine,ATL,LAX,2025-03-17 06:48:28,2025-03-17 08:48:28,On-time,0,Airbus A350,2025-03-17
FL0043,AeroFly,SFO,BOS,2025-02-03 15:17:06,2025-02-03 17:17:06,On-time,0,Boeing 737,2025-02-03
FL0044,SkyHigh,JFK,SFO,2025-02-10 16:09:26,2025-02-10 18:24:26,Delayed,15,Boeing 737,2025-02-10
FL0045,JetZoom,ATL,BOS,2025-05-10 02:53:46,2025-05-10 04:53:46,On-time,0,Airbus A320,2025-05-10
FL0046,CloudNine,ORD,DFW,2024-12-07 23:55:53,2024-12-08 01:55:53,On-time,0,Boeing 737,2024-12-07
FL0047,CloudNine,MIA,LAX,2025-03-24 11:03:32,2025-03-24 13:03:32,On-time,0,Embraer 190,2025-03-24
FL0048,SkyHigh,LAX,ATL,2024-12-08 04:44:39,2024-12-08 06:44:39,On-time,0,Airbus A350,2024-12-08
FL0049,CloudNine,ATL,SFO,2025-03-28 12:50:11,2025-03-28 15:50:11,Delayed,60,Airbus A320,2025-03-28
FL0050,CloudNine,JFK,SFO,2025-01-19 03:07:04,2025-01-19 05:07:04,On-time,0,Airbus A350,2025-01-19
FL0051,AeroFly,SFO,MIA,2025-03-04 06:57:11,2025-03-04 09:12:11,Delayed,15,Airbus A350,2025-03-04
FL0052,JetZoom,ATL,DFW,2025-01-10 09:10:23,2025-01-10 11:10:23,On-time,0,Boeing 737,2025-01-10
FL0053,GlobalWings,MIA,JFK,2025-01-07 10:15:01,2025-01-07 12:30:01,Delayed,15,Boeing 737,2025-01-07
FL0054,SkyHigh,BOS,SEA,2024-12-11 16:34:58,2024-12-11 18:34:58,On-time,0,Embraer 190,2024-12-11
FL0055,JetZoom,JFK,MIA,2025-02-11 10:13:16,2025-02-11 12:13:16,On-time,0,Airbus A320,2025-02-11
FL0056,SkyHigh,BOS,LAX,2025-01-04 07:30:13,2025-01-04 09:45:13,Delayed,15,Airbus A320,2025-01-04
FL0057,CloudNine,LAX,ATL,2024-12-10 07:06:53,2024-12-10 09:06:53,On-time,0,Boeing 737,2024-12-10
FL0058,GlobalWings,LAX,SFO,2025-04-20 20:52:08,2025-04-20 23:07:08,Delayed,15,Embraer 190,2025-04-20
FL0059,GlobalWings,DEN,DFW,2024-12-04 15:21:21,2024-12-04 17:21:21,On-time,0,Boeing 777,2024-12-04
FL0060,JetZoom,DFW,SFO,2025-03-20 04:42:47,2025-03-20 06:42:47,On-time,0,Boeing 777,2025-03-20
FL0061,CloudNine,DEN,LAX,2024-12-14 05:45:54,2024-12-14 07:45:54,On-time,0,Embraer 190,2024-12-14
FL0062,GlobalWings,LAX,BOS,2024-12-12 06:49:17,2024-12-12 08:49:17,On-time,0,Embraer 190,2024-12-12
FL0063,AeroFly,ORD,DEN,2025-04-05 00:05:08,2025-04-05 02:35:08,Delayed,30,Airbus A320,2025-04-05
FL0064,AeroFly,DFW,ORD,2025-01-28 09:30:11,2025-01-28 11:30:11,On-time,0,Embraer 190,2025-01-28
FL0065,AeroFly,BOS,MIA,2025-02-08 00:39:35,2025-02-08 02:39:35,On-time,0,Embraer 190,2025-02-08
FL0066,AeroFly,LAX,ORD,2024-12-28 11:38:06,2024-12-28 13:38:06,On-time,0,Boeing 737,2024-12-28
FL0067,GlobalWings,ORD,DFW,2025-04-20 06:49:54,2025-04-20 08:49:54,On-time,0,Airbus A320,2025-04-20
FL0068,AeroFly,ATL,DFW,2025-02-06 08:14:01,2025-02-06 10:14:01,On-time,0,Boeing 777,2025-02-06
FL0069,SkyHigh,LAX,SFO,2024-12-20 08:28:57,2024-12-20 10:58:57,Delayed,30,Boeing 737,2024-12-20
FL0070,SkyHigh,DEN,ORD,2025-01-29 05:02:44,2025-01-29 07:17:44,Delayed,15,Boeing 777,2025-01-29
FL0071,JetZoom,SEA,MIA,2024-12-25 23:09:20,2024-12-26 01:24:20,Delayed,15,Embraer 190,2024-12-25
FL0072,SkyHigh,LAX,BOS,2025-02-05 20:13:31,2025-02-05 23:13:31,Delayed,60,Airbus A320,2025-02-05
FL0073,GlobalWings,JFK,DEN,2025-03-14 19:04:53,2025-03-14 21:04:53,On-time,0,Airbus A320,2025-03-14
FL0074,CloudNine,ORD,JFK,2025-03-20 11:37:03,2025-03-20 13:37:03,On-time,0,Boeing 737,2025-03-20
FL0075,AeroFly,ATL,BOS,2025-04-12 06:41:40,2025-04-12 08:56:40,Delayed,15,Boeing 777,2025-04-12
FL0076,GlobalWings,SFO,ORD,2024-12-02 19:39:06,2024-12-02 22:39:06,Delayed,60,Airbus A320,2024-12-02
FL0077,JetZoom,ORD,SFO,2025-03-17 09:08:11,2025-03-17 11:08:11,On-time,0,Boeing 777,2025-03-17
FL0078,CloudNine,ATL,DFW,2025-05-06 03:13:30,2025-05-06 05:13:30,On-time,0,Boeing 737,2025-05-06
FL0079,CloudNine,JFK,SEA,2025-04-30 21:23:07,2025-04-30 23:23:07,On-time,0,Airbus A350,2025-04-30
FL0080,AeroFly,DFW,ATL,2025-01-20 05:08:52,2025-01-20 07:08:52,On-time,0,Airbus A320,2025-01-20
FL0081,CloudNine,DEN,DFW,2025-03-14 03:51:19,2025-03-14 06:21:19,Delayed,30,Boeing 777,2025-03-14
FL0082,AeroFly,MIA,SFO,2025-03-21 16:39:14,2025-03-21 18:54:14,Delayed,15,Embraer 190,2025-03-21
FL0083,AeroFly,JFK,LAX,2024-12-09 07:54:06,2024-12-09 10:24:06,Delayed,30,Boeing 777,2024-12-09
FL0084,JetZoom,BOS,DFW,2025-04-07 22:08:22,2025-04-08 00:08:22,On-time,0,Embraer 190,2025-04-07
FL0085,CloudNine,DEN,BOS,2025-03-05 20:56:43,2025-03-05 22:56:43,On-time,0,Embraer 190,2025-03-05
FL0086,SkyHigh,SFO,ATL,2025-03-29 02:24:55,2025-03-29 04:24:55,On-time,0,Airbus A350,2025-03-29
FL0087,SkyHigh,MIA,BOS,2025-04-17 03:27:25,2025-04-17 05:42:25,Delayed,15,Airbus A320,2025-04-17
FL0088,AeroFly,SFO,LAX,2025-02-01 21:08:52,2025-02-02 00:08:52,Delayed,60,Boeing 777,2025-02-01
FL0089,GlobalWings,DEN,LAX,2025-05-02 03:26:38,2025-05-02 05:41:38,Delayed,15,Boeing 777,2025-05-02
FL0090,GlobalWings,DFW,SFO,2025-03-08 02:52:28,2025-03-08 04:52:28,On-time,0,Boeing 777,2025-03-08
FL0091,GlobalWings,ORD,ATL,2024-12-03 13:34:37,2024-12-03 15:34:37,On-time,0,Airbus A350,2024-12-03
FL0092,JetZoom,BOS,DFW,2025-05-24 09:04:38,2025-05-24 11:04:38,On-time,0,Boeing 737,2025-05-24
FL0093,AeroFly,DFW,ATL,2024-12-18 18:48:00,2024-12-18 20:48:00,On-time,0,Embraer 190,2024-12-18
FL0094,GlobalWings,DEN,SEA,2025-04-14 22:42:45,2025-04-15 00:42:45,On-time,0,Airbus A320,2025-04-14
FL0095,GlobalWings,SEA,ORD,2024-11-25 21:41:42,2024-11-25 23:56:42,Delayed,15,Boeing 777,2024-11-25
FL0096,GlobalWings,BOS,DEN,2025-04-13 02:50:12,2025-04-13 04:50:12,On-time,0,Airbus A320,2025-04-13
FL0097,AeroFly,ATL,BOS,2025-03-13 15:04:58,2025-03-13 17:04:58,On-time,0,Boeing 737,2025-03-13
FL0098,JetZoom,SEA,LAX,2024-12-05 17:48:05,2024-12-05 19:48:05,On-time,0,Embraer 190,2024-12-05
FL0099,JetZoom,SFO,SEA,2024-12-07 06:21:12,2024-12-07 08:21:12,On-time,0,Airbus A320,2024-12-07
FL0100,SkyHigh,LAX,SFO,2025-05-18 09:42:31,2025-05-18 11:42:31,On-time,0,Embraer 190,2025-05-18
FL0101,CloudNine,JFK,MIA,2024-11-29 00:43:13,2024-11-29 02:43:13,On-time,0,Boeing 737,2024-11-29
FL0102,CloudNine,ORD,SEA,2025-01-10 10:55:14,2025-01-10 13:10:14,Delayed,15,Embraer 190,2025-01-10
FL0103,GlobalWings,DEN,SEA,2025-02-15 14:35:36,2025-02-15 16:50:36,Delayed,15,Embraer 190,2025-02-15
FL0104,CloudNine,MIA,SEA,2025-03-06 12:03:41,2025-03-06 14:33:41,Delayed,30,Airbus A350,2025-03-06
FL0105,CloudNine,DFW,ATL,2025-04-15 22:30:57,2025-04-16 01:00:57,Delayed,30,Boeing 777,2025-04-15
FL0106,GlobalWings,SEA,ATL,2025-05-07 10:45:24,2025-05-07 12:45:24,On-time,0,Boeing 737,2025-05-07
FL0107,AeroFly,ATL,DFW,2025-05-25 21:55:27,2025-05-25 23:55:27,On-time,0,Embraer 190,2025-05-25
FL0108,SkyHigh,ORD,BOS,2025-02-24 23:10:45,2025-02-25 01:10:45,On-time,0,Airbus A320,2025-02-24
FL0109,JetZoom,LAX,SFO,2025-03-28 01:29:56,2025-03-28 03:29:56,On-time,0,Embraer 190,2025-03-28
FL0110,CloudNine,SFO,JFK,2024-12-21 07:42:13,2024-12-21 09:42:13,On-time,0,Airbus A350,2024-12-21
FL0111,CloudNine,BOS,JFK,2025-04-22 17:43:53,2025-04-22 20:13:53,Delayed,30,Embraer 190,2025-04-22
FL0112,CloudNine,SEA,JFK,2025-02-05 22:00:59,2025-02-06 01:00:59,Delayed,60,Boeing 777,2025-02-05
FL0113,CloudNine,SFO,MIA,2025-05-13 22:58:13,2025-05-14 01:13:13,Delayed,15,Embraer 190,2025-05-13
FL0114,GlobalWings,ATL,SEA,2025-03-19 04:23:43,2025-03-19 06:23:43,On-time,0,Airbus A350,2025-03-19
FL0115,CloudNine,JFK,SFO,2025-01-27 01:15:57,2025-01-27 03:15:57,On-time,0,Airbus A350,2025-01-27
FL0116,JetZoom,SEA,ORD,2025-01-13 23:05:45,2025-01-14 03:05:45,Cancelled,120,Embraer 190,2025-01-13
FL0117,SkyHigh,SFO,JFK,2024-12-01 02:31:18,2024-12-01 04:31:18,On-time,0,Airbus A350,2024-12-01
FL0118,JetZoom,SEA,ORD,2025-02-01 13:11:16,2025-02-01 15:11:16,On-time,0,Airbus A350,2025-02-01
FL0119,AeroFly,ATL,SEA,2024-12-04 09:33:14,2024-12-04 11:33:14,On-time,0,Airbus A350,2024-12-04
FL0120,AeroFly,SFO,DFW,2025-05-01 02:49:36,2025-05-01 05:19:36,Delayed,30,Airbus A350,2025-05-01
FL0121,SkyHigh,MIA,JFK,2025-04-17 16:56:40,2025-04-17 20:56:40,Cancelled,120,Boeing 777,2025-04-17
FL0122,JetZoom,LAX,JFK,2025-01-24 19:29:07,2025-01-24 21:44:07,Delayed,15,Airbus A320,2025-01-24
FL0123,JetZoom,JFK,ORD,2024-12-11 04:14:11,2024-12-11 06:14:11,On-time,0,Airbus A350,2024-12-11
FL0124,SkyHigh,BOS,ATL,2025-03-12 04:06:20,2025-03-12 06:06:20,On-time,0,Boeing 777,2025-03-12
FL0125,AeroFly,ORD,LAX,2025-02-19 08:21:08,2025-02-19 10:36:08,Delayed,15,Airbus A320,2025-02-19
FL0126,AeroFly,LAX,JFK,2025-03-03 13:54:49,2025-03-03 16:54:49,Delayed,60,Embraer 190,2025-03-03
FL0127,CloudNine,SFO,ATL,2025-03-12 21:40:38,2025-03-12 23:40:38,On-time,0,Airbus A320,2025-03-12
FL0128,SkyHigh,DFW,LAX,2025-05-15 11:11:50,2025-05-15 13:26:50,Delayed,15,Embraer 190,2025-05-15
FL0129,SkyHigh,DEN,MIA,2025-01-02 05:21:22,2025-01-02 07:21:22,On-time,0,Boeing 777,2025-01-02
FL0130,SkyHigh,MIA,DEN,2025-05-06 04:07:18,2025-05-06 06:07:18,On-time,0,Airbus A350,2025-05-06
FL0131,CloudNine,LAX,SFO,2024-12-01 07:31:59,2024-12-01 11:01:59,Cancelled,90,Airbus A350,2024-12-01
FL0132,JetZoom,SFO,ORD,2025-04-18 21:19:25,2025-04-18 23:34:25,Delayed,15,Boeing 777,2025-04-18
FL0133,GlobalWings,MIA,SEA,2025-05-21 17:14:06,2025-05-21 19:14:06,On-time,0,Embraer 190,2025-05-21
FL0134,AeroFly,DEN,ATL,2025-04-20 13:32:51,2025-04-20 16:02:51,Delayed,30,Boeing 737,2025-04-20
FL0135,AeroFly,SEA,ATL,2025-05-19 03:18:28,2025-05-19 05:33:28,Delayed,15,Embraer 190,2025-05-19
FL0136,GlobalWings,SFO,DEN,2025-05-06 11:47:11,2025-05-06 13:47:11,On-time,0,Boeing 777,2025-05-06
FL0137,JetZoom,SEA,ATL,2025-01-27 05:31:31,2025-01-27 07:31:31,On-time,0,Boeing 777,2025-01-27
FL0138,AeroFly,DFW,BOS,2025-02-22 05:59:32,2025-02-22 07:59:32,On-time,0,Embraer 190,2025-02-22
FL0139,JetZoom,LAX,ATL,2025-03-09 06:36:47,2025-03-09 08:51:47,Delayed,15,Airbus A350,2025-03-09
FL0140,GlobalWings,ATL,SEA,2025-01-16 23:35:07,2025-01-17 01:50:07,Delayed,15,Airbus A350,2025-01-16
FL0141,CloudNine,JFK,LAX,2024-12-26 15:34:06,2024-12-26 17:34:06,On-time,0,Airbus A350,2024-12-26
FL0142,JetZoom,DFW,DEN,2025-01-02 02:09:23,2025-01-02 04:09:23,On-time,0,Embraer 190,2025-01-02
FL0143,AeroFly,SFO,MIA,2025-01-14 13:28:13,2025-01-14 15:28:13,On-time,0,Airbus A350,2025-01-14
FL0144,AeroFly,DFW,BOS,2024-12-15 16:12:44,2024-12-15 18:12:44,On-time,0,Airbus A320,2024-12-15
FL0145,AeroFly,LAX,MIA,2025-05-07 23:37:06,2025-05-08 03:07:06,Cancelled,90,Airbus A320,2025-05-07
FL0146,JetZoom,ATL,SEA,2025-04-25 19:35:57,2025-04-25 21:35:57,On-time,0,Embraer 190,2025-04-25
FL0147,GlobalWings,BOS,DFW,2025-04-01 09:10:52,2025-04-01 13:10:52,Cancelled,120,Airbus A320,2025-04-01
FL0148,AeroFly,ATL,DEN,2025-03-20 11:44:39,2025-03-20 13:44:39,On-time,0,Boeing 737,2025-03-20
FL0149,GlobalWings,ORD,DFW,2025-01-16 07:56:38,2025-01-16 09:56:38,On-time,0,Boeing 737,2025-01-16
FL0150,GlobalWings,DFW,ORD,2024-12-05 03:41:42,2024-12-05 05:56:42,Delayed,15,Airbus A350,2024-12-05
FL0151,SkyHigh,JFK,DFW,2025-02-27 12:33:33,2025-02-27 14:33:33,On-time,0,Airbus A350,2025-02-27
FL0152,AeroFly,ORD,JFK,2025-03-16 00:29:09,2025-03-16 02:29:09,On-time,0,Airbus A350,2025-03-16
FL0153,SkyHigh,LAX,SFO,2025-02-12 22:04:55,2025-02-13 00:04:55,On-time,0,Embraer 190,2025-02-12
FL0154,SkyHigh,ORD,BOS,2024-12-15 11:30:52,2024-12-15 14:00:52,Delayed,30,Boeing 777,2024-12-15
FL0155,SkyHigh,ATL,LAX,2025-01-25 17:57:23,2025-01-25 19:57:23,On-time,0,Airbus A350,2025-01-25
FL0156,GlobalWings,BOS,ATL,2025-04-23 10:10:21,2025-04-23 12:25:21,Delayed,15,Airbus A350,2025-04-23
FL0157,CloudNine,SEA,DFW,2025-04-25 20:58:13,2025-04-25 23:28:13,Delayed,30,Airbus A350,2025-04-25
FL0158,AeroFly,BOS,JFK,2025-01-11 07:17:58,2025-01-11 09:32:58,Delayed,15,Boeing 737,2025-01-11
FL0159,JetZoom,ATL,DFW,2024-12-09 02:21:51,2024-12-09 04:36:51,Delayed,15,Airbus A320,2024-12-09
FL0160,JetZoom,ORD,MIA,2025-01-14 23:07:17,2025-01-15 01:07:17,On-time,0,Boeing 737,2025-01-14
FL0161,CloudNine,SEA,BOS,2024-12-13 05:05:43,2024-12-13 07:05:43,On-time,0,Airbus A320,2024-12-13
FL0162,AeroFly,DFW,SEA,2025-01-12 00:15:33,2025-01-12 02:15:33,On-time,0,Airbus A320,2025-01-12
FL0163,AeroFly,BOS,ATL,2024-12-28 02:34:55,2024-12-28 04:34:55,On-time,0,Embraer 190,2024-12-28
FL0164,JetZoom,ORD,DFW,2025-01-25 19:55:29,2025-01-25 22:25:29,Delayed,30,Boeing 737,2025-01-25
FL0165,SkyHigh,ORD,DFW,2025-02-07 20:28:05,2025-02-07 22:28:05,On-time,0,Embraer 190,2025-02-07
FL0166,AeroFly,SEA,LAX,2025-05-12 08:14:24,2025-05-12 10:14:24,On-time,0,Boeing 777,2025-05-12
FL0167,CloudNine,DFW,MIA,2025-05-25 21:04:58,2025-05-25 23:04:58,On-time,0,Airbus A350,2025-05-25
FL0168,SkyHigh,BOS,JFK,2024-12-22 23:33:45,2024-12-23 02:03:45,Delayed,30,Boeing 777,2024-12-22
FL0169,GlobalWings,DFW,JFK,2025-02-07 06:29:57,2025-02-07 08:29:57,On-time,0,Embraer 190,2025-02-07
FL0170,GlobalWings,JFK,DFW,2024-12-30 03:04:42,2024-12-30 05:04:42,On-time,0,Airbus A320,2024-12-30
FL0171,CloudNine,MIA,SEA,2025-03-27 09:33:00,2025-03-27 12:33:00,Delayed,60,Airbus A320,2025-03-27
FL0172,GlobalWings,SFO,SEA,2025-04-23 11:17:27,2025-04-23 14:47:27,Cancelled,90,Airbus A350,2025-04-23
FL0173,AeroFly,SFO,DEN,2025-02-26 19:58:08,2025-02-26 21:58:08,On-time,0,Boeing 737,2025-02-26
FL0174,JetZoom,DEN,SFO,2025-01-14 19:37:58,2025-01-14 21:52:58,Delayed,15,Boeing 777,2025-01-14
FL0175,CloudNine,MIA,JFK,2025-05-04 17:33:48,2025-05-04 19:33:48,On-time,0,Boeing 777,2025-05-04
FL0176,AeroFly,DEN,LAX,2024-12-29 21:59:41,2024-12-30 01:29:41,Cancelled,90,Airbus A350,2024-12-29
FL0177,GlobalWings,JFK,MIA,2025-05-03 03:29:13,2025-05-03 05:29:13,On-time,0,Boeing 737,2025-05-03
FL0178,JetZoom,MIA,DEN,2024-12-25 11:25:46,2024-12-25 13:40:46,Delayed,15,Airbus A350,2024-12-25
FL0179,CloudNine,JFK,ATL,2025-01-21 09:54:17,2025-01-21 11:54:17,On-time,0,Airbus A320,2025-01-21
FL0180,AeroFly,SEA,BOS,2025-05-12 06:14:20,2025-05-12 08:14:20,On-time,0,Embraer 190,2025-05-12
FL0181,JetZoom,ORD,DFW,2025-05-24 18:31:14,2025-05-24 20:31:14,On-time,0,Embraer 190,2025-05-24
FL0182,CloudNine,LAX,ATL,2025-05-13 12:59:36,2025-05-13 16:59:36,Cancelled,120,Boeing 737,2025-05-13
FL0183,CloudNine,LAX,ORD,2025-02-18 00:13:26,2025-02-18 02:13:26,On-time,0,Boeing 777,2025-02-18
FL0184,GlobalWings,DFW,SFO,2025-01-21 00:51:24,2025-01-21 03:21:24,Delayed,30,Airbus A350,2025-01-21
FL0185,JetZoom,SEA,MIA,2025-02-11 00:23:51,2025-02-11 02:23:51,On-time,0,Airbus A320,2025-02-11
FL0186,GlobalWings,MIA,ORD,2025-01-07 08:10:16,2025-01-07 10:40:16,Delayed,30,Boeing 777,2025-01-07
FL0187,CloudNine,DEN,MIA,2024-12-17 18:01:06,2024-12-17 20:01:06,On-time,0,Boeing 737,2024-12-17
FL0188,AeroFly,DFW,SEA,2025-04-16 15:14:36,2025-04-16 17:44:36,Delayed,30,Airbus A350,2025-04-16
FL0189,GlobalWings,SEA,DEN,2024-12-23 13:14:23,2024-12-23 15:14:23,On-time,0,Embraer 190,2024-12-23
FL0190,CloudNine,SEA,DEN,2025-01-20 11:36:09,2025-01-20 14:06:09,Delayed,30,Airbus A320,2025-01-20
FL0191,GlobalWings,SFO,ATL,2025-01-26 01:59:42,2025-01-26 04:29:42,Delayed,30,Airbus A350,2025-01-26
FL0192,SkyHigh,DEN,SEA,2025-05-10 12:26:27,2025-05-10 14:41:27,Delayed,15,Airbus A350,2025-05-10
FL0193,CloudNine,ORD,SEA,2024-12-22 08:29:03,2024-12-22 11:59:03,Cancelled,90,Airbus A320,2024-12-22
FL0194,GlobalWings,BOS,DEN,2024-12-04 07:14:09,2024-12-04 09:44:09,Delayed,30,Airbus A350,2024-12-04
FL0195,SkyHigh,MIA,SEA,2025-01-23 17:30:37,2025-01-23 19:30:37,On-time,0,Airbus A320,2025-01-23
FL0196,CloudNine,ORD,LAX,2025-03-07 00:14:40,2025-03-07 02:14:40,On-time,0,Boeing 777,2025-03-07
FL0197,AeroFly,BOS,SFO,2024-12-28 08:06:35,2024-12-28 10:21:35,Delayed,15,Boeing 777,2024-12-28
FL0198,GlobalWings,SFO,DEN,2024-11-28 16:52:12,2024-11-28 19:07:12,Delayed,15,Airbus A350,2024-11-28
FL0199,GlobalWings,JFK,LAX,2025-04-28 08:01:07,2025-04-28 10:01:07,On-time,0,Boeing 777,2025-04-28
FL0200,JetZoom,LAX,SFO,2025-01-09 03:09:14,2025-01-09 06:39:14,Cancelled,90,Boeing 737,2025-01-09
FL0201,CloudNine,ORD,DFW,2025-03-17 00:34:50,2025-03-17 03:34:50,Delayed,60,Boeing 737,2025-03-17
FL0202,AeroFly,JFK,DFW,2025-03-02 17:27:27,2025-03-02 19:27:27,On-time,0,Airbus A350,2025-03-02
FL0203,JetZoom,ATL,MIA,2025-04-01 20:25:57,2025-04-01 22:25:57,On-time,0,Airbus A320,2025-04-01
FL0204,JetZoom,ORD,LAX,2025-02-22 09:40:56,2025-02-22 11:55:56,Delayed,15,Airbus A350,2025-02-22
FL0205,GlobalWings,ATL,SEA,2025-03-06 19:36:41,2025-03-06 22:36:41,Delayed,60,Airbus A320,2025-03-06
FL0206,JetZoom,SEA,DFW,2025-05-20 17:06:19,2025-05-20 19:06:19,On-time,0,Boeing 737,2025-05-20
FL0207,CloudNine,DFW,MIA,2025-04-06 03:34:26,2025-04-06 05:34:26,On-time,0,Airbus A350,2025-04-06
FL0208,AeroFly,BOS,DFW,2024-12-23 10:34:46,2024-12-23 12:49:46,Delayed,15,Airbus A350,2024-12-23
FL0209,AeroFly,SEA,DFW,2025-04-02 04:58:41,2025-04-02 06:58:41,On-time,0,Airbus A350,2025-04-02
FL0210,CloudNine,LAX,ATL,2025-03-06 10:54:54,2025-03-06 12:54:54,On-time,0,Boeing 777,2025-03-06
FL0211,GlobalWings,DFW,BOS,2024-12-29 19:32:08,2024-12-29 21:32:08,On-time,0,Airbus A350,2024-12-29
